zipcode,zone,trange,zonetitle
99501,4b,-25 to -20,4b: -25 to -20
99502,5a,-20 to -15,5a: -20 to -15
99503,4b,-25 to -20,4b: -25 to -20
99504,4b,-25 to -20,4b: -25 to -20
99505,4b,-25 to -20,4b: -25 to -20
99506,4b,-25 to -20,4b: -25 to -20
99507,4b,-25 to -20,4b: -25 to -20
99508,4b,-25 to -20,4b: -25 to -20
99509,4b,-25 to -20,4b: -25 to -20
99510,4b,-25 to -20,4b: -25 to -20
99511,4b,-25 to -20,4b: -25 to -20
99513,4b,-25 to -20,4b: -25 to -20
99514,4b,-25 to -20,4b: -25 to -20
99515,4b,-25 to -20,4b: -25 to -20
99516,4b,-25 to -20,4b: -25 to -20
99517,4b,-25 to -20,4b: -25 to -20
99518,4b,-25 to -20,4b: -25 to -20
99519,5a,-20 to -15,5a: -20 to -15
99520,4b,-25 to -20,4b: -25 to -20
99521,4b,-25 to -20,4b: -25 to -20
99522,5a,-20 to -15,5a: -20 to -15
99523,4b,-25 to -20,4b: -25 to -20
99524,5a,-20 to -15,5a: -20 to -15
99529,4b,-25 to -20,4b: -25 to -20
99530,5a,-20 to -15,5a: -20 to -15
99540,5a,-20 to -15,5a: -20 to -15
99545,3b,-35 to -30,3b: -35 to -30
99546,8a,10 to 15,8a: 10 to 15
99547,8a,10 to 15,8a: 10 to 15
99548,6b,-5 to 0,6b: -5 to 0
99549,5b,-15 to -10,5b: -15 to -10
99550,7a,0 to 5,7a: 0 to 5
99551,3b,-35 to -30,3b: -35 to -30
99552,3b,-35 to -30,3b: -35 to -30
99553,7b,5 to 10,7b: 5 to 10
99554,3b,-35 to -30,3b: -35 to -30
99555,4a,-30 to -25,4a: -30 to -25
99556,5b,-15 to -10,5b: -15 to -10
99557,2b,-45 to -40,2b: -45 to -40
99558,2b,-45 to -40,2b: -45 to -40
99559,3b,-35 to -30,3b: -35 to -30
99561,4a,-30 to -25,4a: -30 to -25
99563,4a,-30 to -25,4a: -30 to -25
99564,6b,-5 to 0,6b: -5 to 0
99565,6a,-10 to -5,6a: -10 to -5
99566,3b,-35 to -30,3b: -35 to -30
99567,4b,-25 to -20,4b: -25 to -20
99568,5a,-20 to -15,5a: -20 to -15
99569,4b,-25 to -20,4b: -25 to -20
99571,7a,0 to 5,7a: 0 to 5
99572,4b,-25 to -20,4b: -25 to -20
99573,2a,-50 to -45,2a: -50 to -45
99574,7b,5 to 10,7b: 5 to 10
99575,1b,-55 to -50,1b: -55 to -50
99576,4b,-25 to -20,4b: -25 to -20
99577,4b,-25 to -20,4b: -25 to -20
99578,3b,-35 to -30,3b: -35 to -30
99579,4b,-25 to -20,4b: -25 to -20
99580,4a,-30 to -25,4a: -30 to -25
99581,3b,-35 to -30,3b: -35 to -30
99583,7a,0 to 5,7a: 0 to 5
99585,3a,-40 to -35,3a: -40 to -35
99586,2b,-45 to -40,2b: -45 to -40
99587,5b,-15 to -10,5b: -15 to -10
99588,2a,-50 to -45,2a: -50 to -45
99589,4b,-25 to -20,4b: -25 to -20
99590,2b,-45 to -40,2b: -45 to -40
99591,6b,-5 to 0,6b: -5 to 0
99599,4b,-25 to -20,4b: -25 to -20
99602,2b,-45 to -40,2b: -45 to -40
99603,6a,-10 to -5,6a: -10 to -5
99604,4b,-25 to -20,4b: -25 to -20
99605,5a,-20 to -15,5a: -20 to -15
99606,4b,-25 to -20,4b: -25 to -20
99607,2b,-45 to -40,2b: -45 to -40
99608,6b,-5 to 0,6b: -5 to 0
99609,3b,-35 to -30,3b: -35 to -30
99610,4b,-25 to -20,4b: -25 to -20
99611,4b,-25 to -20,4b: -25 to -20
99612,6b,-5 to 0,6b: -5 to 0
99613,4a,-30 to -25,4a: -30 to -25
99614,4a,-30 to -25,4a: -30 to -25
99615,7a,0 to 5,7a: 0 to 5
99619,7a,0 to 5,7a: 0 to 5
99620,3b,-35 to -30,3b: -35 to -30
99621,3b,-35 to -30,3b: -35 to -30
99622,4a,-30 to -25,4a: -30 to -25
99623,4b,-25 to -20,4b: -25 to -20
99624,6b,-5 to 0,6b: -5 to 0
99625,4a,-30 to -25,4a: -30 to -25
99626,2b,-45 to -40,2b: -45 to -40
99627,1b,-55 to -50,1b: -55 to -50
99628,4b,-25 to -20,4b: -25 to -20
99629,4b,-25 to -20,4b: -25 to -20
99630,4a,-30 to -25,4a: -30 to -25
99631,4a,-30 to -25,4a: -30 to -25
99632,3a,-40 to -35,3a: -40 to -35
99633,4a,-30 to -25,4a: -30 to -25
99634,3b,-35 to -30,3b: -35 to -30
99635,4b,-25 to -20,4b: -25 to -20
99636,4a,-30 to -25,4a: -30 to -25
99637,4a,-30 to -25,4a: -30 to -25
99638,7b,5 to 10,7b: 5 to 10
99639,5a,-20 to -15,5a: -20 to -15
99640,4a,-30 to -25,4a: -30 to -25
99641,3b,-35 to -30,3b: -35 to -30
99643,7a,0 to 5,7a: 0 to 5
99644,7b,5 to 10,7b: 5 to 10
99645,4b,-25 to -20,4b: -25 to -20
99647,4a,-30 to -25,4a: -30 to -25
99648,6b,-5 to 0,6b: -5 to 0
99649,5b,-15 to -10,5b: -15 to -10
99650,3b,-35 to -30,3b: -35 to -30
99651,4b,-25 to -20,4b: -25 to -20
99652,3b,-35 to -30,3b: -35 to -30
99653,3a,-40 to -35,3a: -40 to -35
99654,4b,-25 to -20,4b: -25 to -20
99655,4b,-25 to -20,4b: -25 to -20
99656,2a,-50 to -45,2a: -50 to -45
99657,3a,-40 to -35,3a: -40 to -35
99658,3b,-35 to -30,3b: -35 to -30
99659,3b,-35 to -30,3b: -35 to -30
99660,6b,-5 to 0,6b: -5 to 0
99661,7b,5 to 10,7b: 5 to 10
99662,4b,-25 to -20,4b: -25 to -20
99663,6b,-5 to 0,6b: -5 to 0
99664,6a,-10 to -5,6a: -10 to -5
99665,2a,-50 to -45,2a: -50 to -45
99666,3b,-35 to -30,3b: -35 to -30
99667,3a,-40 to -35,3a: -40 to -35
99668,2a,-50 to -45,2a: -50 to -45
99669,4a,-30 to -25,4a: -30 to -25
99670,4a,-30 to -25,4a: -30 to -25
99671,3b,-35 to -30,3b: -35 to -30
99672,4b,-25 to -20,4b: -25 to -20
99674,4b,-25 to -20,4b: -25 to -20
99675,3a,-40 to -35,3a: -40 to -35
99676,3b,-35 to -30,3b: -35 to -30
99677,6b,-5 to 0,6b: -5 to 0
99678,4b,-25 to -20,4b: -25 to -20
99679,3b,-35 to -30,3b: -35 to -30
99680,3b,-35 to -30,3b: -35 to -30
99681,4a,-30 to -25,4a: -30 to -25
99682,4b,-25 to -20,4b: -25 to -20
99683,4a,-30 to -25,4a: -30 to -25
99684,3b,-35 to -30,3b: -35 to -30
99685,7b,5 to 10,7b: 5 to 10
99686,6a,-10 to -5,6a: -10 to -5
99687,4b,-25 to -20,4b: -25 to -20
99688,3a,-40 to -35,3a: -40 to -35
99689,6b,-5 to 0,6b: -5 to 0
99690,4a,-30 to -25,4a: -30 to -25
99691,1b,-55 to -50,1b: -55 to -50
99692,7b,5 to 10,7b: 5 to 10
99693,6a,-10 to -5,6a: -10 to -5
99694,3b,-35 to -30,3b: -35 to -30
99695,7a,0 to 5,7a: 0 to 5
99697,7a,0 to 5,7a: 0 to 5
99701,2a,-50 to -45,2a: -50 to -45
99702,2a,-50 to -45,2a: -50 to -45
99703,2a,-50 to -45,2a: -50 to -45
99704,2a,-50 to -45,2a: -50 to -45
99705,1b,-55 to -50,1b: -55 to -50
99706,2a,-50 to -45,2a: -50 to -45
99707,2a,-50 to -45,2a: -50 to -45
99708,2b,-45 to -40,2b: -45 to -40
99709,2a,-50 to -45,2a: -50 to -45
99710,2a,-50 to -45,2a: -50 to -45
99711,1b,-55 to -50,1b: -55 to -50
99712,2a,-50 to -45,2a: -50 to -45
99714,2b,-45 to -40,2b: -45 to -40
99716,2a,-50 to -45,2a: -50 to -45
99720,1b,-55 to -50,1b: -55 to -50
99721,2b,-45 to -40,2b: -45 to -40
99722,1a, < -100,1a: < -55
99723,2b,-45 to -40,2b: -45 to -40
99724,1b,-55 to -50,1b: -55 to -50
99725,3a,-40 to -35,3a: -40 to -35
99726,1b,-55 to -50,1b: -55 to -50
99727,2b,-45 to -40,2b: -45 to -40
99729,2b,-45 to -40,2b: -45 to -40
99730,1b,-55 to -50,1b: -55 to -50
99731,2a,-50 to -45,2a: -50 to -45
99732,1a, < -100,1a: < -55
99733,1b,-55 to -50,1b: -55 to -50
