zipcode,zone,trange,zonetitle
00601,11b,45 to 50,11b: 45 to 50
00602,13a,60 to 65,13a: 60 to 65
00603,13a,60 to 65,13a: 60 to 65
00604,13a,60 to 65,13a: 60 to 65
00605,13a,60 to 65,13a: 60 to 65
00606,12b,55 to 60,12b: 55 to 60
00610,12b,55 to 60,12b: 55 to 60
00611,12a,50 to 55,12a: 50 to 55
00612,13a,60 to 65,13a: 60 to 65
00613,13a,60 to 65,13a: 60 to 65
00614,13a,60 to 65,13a: 60 to 65
00616,12b,55 to 60,12b: 55 to 60
00617,13a,60 to 65,13a: 60 to 65
00622,12b,55 to 60,12b: 55 to 60
00623,12b,55 to 60,12b: 55 to 60
00624,13a,60 to 65,13a: 60 to 65
00627,13a,60 to 65,13a: 60 to 65
00631,11b,45 to 50,11b: 45 to 50
00636,12b,55 to 60,12b: 55 to 60
00637,12b,55 to 60,12b: 55 to 60
00638,12b,55 to 60,12b: 55 to 60
00641,12a,50 to 55,12a: 50 to 55
00646,13a,60 to 65,13a: 60 to 65
00647,13a,60 to 65,13a: 60 to 65
00650,12b,55 to 60,12b: 55 to 60
00652,13a,60 to 65,13a: 60 to 65
00653,13a,60 to 65,13a: 60 to 65
00656,13a,60 to 65,13a: 60 to 65
00659,13a,60 to 65,13a: 60 to 65
00660,12b,55 to 60,12b: 55 to 60
00662,13a,60 to 65,13a: 60 to 65
00664,12a,50 to 55,12a: 50 to 55
00667,12b,55 to 60,12b: 55 to 60
00669,12b,55 to 60,12b: 55 to 60
00670,12b,55 to 60,12b: 55 to 60
00674,13a,60 to 65,13a: 60 to 65
00676,12b,55 to 60,12b: 55 to 60
00677,13a,60 to 65,13a: 60 to 65
00678,13a,60 to 65,13a: 60 to 65
00680,12b,55 to 60,12b: 55 to 60
00681,12b,55 to 60,12b: 55 to 60
00682,12b,55 to 60,12b: 55 to 60
00683,12b,55 to 60,12b: 55 to 60
00685,12b,55 to 60,12b: 55 to 60
00687,12b,55 to 60,12b: 55 to 60
00688,12b,55 to 60,12b: 55 to 60
00690,13a,60 to 65,13a: 60 to 65
00692,13a,60 to 65,13a: 60 to 65
00693,13a,60 to 65,13a: 60 to 65
00694,13a,60 to 65,13a: 60 to 65
00698,12b,55 to 60,12b: 55 to 60
00703,12b,55 to 60,12b: 55 to 60
00704,13a,60 to 65,13a: 60 to 65
00705,12b,55 to 60,12b: 55 to 60
00707,13a,60 to 65,13a: 60 to 65
00714,13a,60 to 65,13a: 60 to 65
00715,13a,60 to 65,13a: 60 to 65
00716,13a,60 to 65,13a: 60 to 65
00717,13a,60 to 65,13a: 60 to 65
00718,13a,60 to 65,13a: 60 to 65
00719,12b,55 to 60,12b: 55 to 60
00720,12a,50 to 55,12a: 50 to 55
00721,13a,60 to 65,13a: 60 to 65
00723,13a,60 to 65,13a: 60 to 65
00725,12b,55 to 60,12b: 55 to 60
00726,12b,55 to 60,12b: 55 to 60
00727,12b,55 to 60,12b: 55 to 60
00728,12b,55 to 60,12b: 55 to 60
00729,13a,60 to 65,13a: 60 to 65
00730,12b,55 to 60,12b: 55 to 60
00731,13a,60 to 65,13a: 60 to 65
00732,12b,55 to 60,12b: 55 to 60
00733,12b,55 to 60,12b: 55 to 60
00734,13a,60 to 65,13a: 60 to 65
00735,13a,60 to 65,13a: 60 to 65
00736,12a,50 to 55,12a: 50 to 55
00737,12a,50 to 55,12a: 50 to 55
00738,13a,60 to 65,13a: 60 to 65
00739,12a,50 to 55,12a: 50 to 55
00740,13a,60 to 65,13a: 60 to 65
00741,13a,60 to 65,13a: 60 to 65
00742,13a,60 to 65,13a: 60 to 65
00744,13a,60 to 65,13a: 60 to 65
00745,13a,60 to 65,13a: 60 to 65
00751,13a,60 to 65,13a: 60 to 65
00754,12b,55 to 60,12b: 55 to 60
00757,13a,60 to 65,13a: 60 to 65
00765,13a,60 to 65,13a: 60 to 65
00766,12b,55 to 60,12b: 55 to 60
00767,13a,60 to 65,13a: 60 to 65
00769,12b,55 to 60,12b: 55 to 60
00771,12b,55 to 60,12b: 55 to 60
00772,13a,60 to 65,13a: 60 to 65
00773,13a,60 to 65,13a: 60 to 65
00775,13a,60 to 65,13a: 60 to 65
00777,12b,55 to 60,12b: 55 to 60
