zipcode,zone,trange,zonetitle
01001,6a,-10 to -5,6a: -10 to -5
01002,5b,-15 to -10,5b: -15 to -10
01003,5b,-15 to -10,5b: -15 to -10
01004,5b,-15 to -10,5b: -15 to -10
01005,5b,-15 to -10,5b: -15 to -10
01007,5b,-15 to -10,5b: -15 to -10
01008,5b,-15 to -10,5b: -15 to -10
01009,6a,-10 to -5,6a: -10 to -5
01010,5b,-15 to -10,5b: -15 to -10
01011,5b,-15 to -10,5b: -15 to -10
01012,5b,-15 to -10,5b: -15 to -10
01013,6a,-10 to -5,6a: -10 to -5
01014,6a,-10 to -5,6a: -10 to -5
01020,6a,-10 to -5,6a: -10 to -5
01021,6a,-10 to -5,6a: -10 to -5
01022,6a,-10 to -5,6a: -10 to -5
01026,5b,-15 to -10,5b: -15 to -10
01027,6a,-10 to -5,6a: -10 to -5
01028,6a,-10 to -5,6a: -10 to -5
01029,5b,-15 to -10,5b: -15 to -10
01030,6a,-10 to -5,6a: -10 to -5
01031,5b,-15 to -10,5b: -15 to -10
01032,5b,-15 to -10,5b: -15 to -10
01033,6a,-10 to -5,6a: -10 to -5
01034,5b,-15 to -10,5b: -15 to -10
01035,6a,-10 to -5,6a: -10 to -5
01036,6a,-10 to -5,6a: -10 to -5
01037,6a,-10 to -5,6a: -10 to -5
01038,5b,-15 to -10,5b: -15 to -10
01039,5b,-15 to -10,5b: -15 to -10
01040,6a,-10 to -5,6a: -10 to -5
01041,6a,-10 to -5,6a: -10 to -5
01050,5b,-15 to -10,5b: -15 to -10
01053,5b,-15 to -10,5b: -15 to -10
01054,5b,-15 to -10,5b: -15 to -10
01056,6a,-10 to -5,6a: -10 to -5
01057,6a,-10 to -5,6a: -10 to -5
01059,5b,-15 to -10,5b: -15 to -10
01060,6a,-10 to -5,6a: -10 to -5
01061,6a,-10 to -5,6a: -10 to -5
01062,6a,-10 to -5,6a: -10 to -5
01063,6a,-10 to -5,6a: -10 to -5
01066,5b,-15 to -10,5b: -15 to -10
01068,5b,-15 to -10,5b: -15 to -10
01069,6a,-10 to -5,6a: -10 to -5
01070,5b,-15 to -10,5b: -15 to -10
01071,5b,-15 to -10,5b: -15 to -10
01072,5b,-15 to -10,5b: -15 to -10
01073,6a,-10 to -5,6a: -10 to -5
01074,5b,-15 to -10,5b: -15 to -10
01075,6a,-10 to -5,6a: -10 to -5
01077,6a,-10 to -5,6a: -10 to -5
01079,6a,-10 to -5,6a: -10 to -5
01080,6a,-10 to -5,6a: -10 to -5
01081,6a,-10 to -5,6a: -10 to -5
01082,5b,-15 to -10,5b: -15 to -10
01083,5b,-15 to -10,5b: -15 to -10
01084,5b,-15 to -10,5b: -15 to -10
01085,6a,-10 to -5,6a: -10 to -5
01086,6a,-10 to -5,6a: -10 to -5
01088,5b,-15 to -10,5b: -15 to -10
01089,6a,-10 to -5,6a: -10 to -5
01090,6a,-10 to -5,6a: -10 to -5
01092,6a,-10 to -5,6a: -10 to -5
01093,5b,-15 to -10,5b: -15 to -10
01094,5b,-15 to -10,5b: -15 to -10
01095,6a,-10 to -5,6a: -10 to -5
01096,5b,-15 to -10,5b: -15 to -10
01097,5b,-15 to -10,5b: -15 to -10
01098,5b,-15 to -10,5b: -15 to -10
01101,6a,-10 to -5,6a: -10 to -5
01102,6a,-10 to -5,6a: -10 to -5
01103,6a,-10 to -5,6a: -10 to -5
01104,6a,-10 to -5,6a: -10 to -5
01105,6a,-10 to -5,6a: -10 to -5
01106,6a,-10 to -5,6a: -10 to -5
01107,6a,-10 to -5,6a: -10 to -5
01108,6a,-10 to -5,6a: -10 to -5
01109,6a,-10 to -5,6a: -10 to -5
01111,6a,-10 to -5,6a: -10 to -5
01115,6a,-10 to -5,6a: -10 to -5
01116,6a,-10 to -5,6a: -10 to -5
01118,6a,-10 to -5,6a: -10 to -5
01119,6a,-10 to -5,6a: -10 to -5
01128,6a,-10 to -5,6a: -10 to -5
01129,6a,-10 to -5,6a: -10 to -5
01138,6a,-10 to -5,6a: -10 to -5
01139,6a,-10 to -5,6a: -10 to -5
01144,6a,-10 to -5,6a: -10 to -5
01151,6a,-10 to -5,6a: -10 to -5
01152,6a,-10 to -5,6a: -10 to -5
01199,6a,-10 to -5,6a: -10 to -5
01201,5b,-15 to -10,5b: -15 to -10
01202,5b,-15 to -10,5b: -15 to -10
01203,5b,-15 to -10,5b: -15 to -10
01220,5b,-15 to -10,5b: -15 to -10
01222,5b,-15 to -10,5b: -15 to -10
01223,5b,-15 to -10,5b: -15 to -10
01224,5a,-20 to -15,5a: -20 to -15
01225,5a,-20 to -15,5a: -20 to -15
01226,5a,-20 to -15,5a: -20 to -15
01227,5a,-20 to -15,5a: -20 to -15
01229,5b,-15 to -10,5b: -15 to -10
01230,5b,-15 to -10,5b: -15 to -10
01235,5b,-15 to -10,5b: -15 to -10
01236,5b,-15 to -10,5b: -15 to -10
01237,5a,-20 to -15,5a: -20 to -15
01238,5b,-15 to -10,5b: -15 to -10
01240,5b,-15 to -10,5b: -15 to -10
01242,5b,-15 to -10,5b: -15 to -10
01243,5b,-15 to -10,5b: -15 to -10
01244,5b,-15 to -10,5b: -15 to -10
01245,5b,-15 to -10,5b: -15 to -10
01247,5b,-15 to -10,5b: -15 to -10
01252,5b,-15 to -10,5b: -15 to -10
01253,5b,-15 to -10,5b: -15 to -10
01254,5b,-15 to -10,5b: -15 to -10
01255,5b,-15 to -10,5b: -15 to -10
01256,5a,-20 to -15,5a: -20 to -15
01257,5b,-15 to -10,5b: -15 to -10
01258,5b,-15 to -10,5b: -15 to -10
01259,5b,-15 to -10,5b: -15 to -10
01260,5b,-15 to -10,5b: -15 to -10
01262,5b,-15 to -10,5b: -15 to -10
01263,5b,-15 to -10,5b: -15 to -10
01264,5b,-15 to -10,5b: -15 to -10
01266,5b,-15 to -10,5b: -15 to -10
01267,5b,-15 to -10,5b: -15 to -10
01270,5a,-20 to -15,5a: -20 to -15
01301,5b,-15 to -10,5b: -15 to -10
01302,5b,-15 to -10,5b: -15 to -10
01330,5b,-15 to -10,5b: -15 to -10
01331,5b,-15 to -10,5b: -15 to -10
01337,5b,-15 to -10,5b: -15 to -10
01338,5b,-15 to -10,5b: -15 to -10
01339,5b,-15 to -10,5b: -15 to -10
01340,5b,-15 to -10,5b: -15 to -10
01341,5b,-15 to -10,5b: -15 to -10
01342,5b,-15 to -10,5b: -15 to -10
01343,5b,-15 to -10,5b: -15 to -10
01344,5b,-15 to -10,5b: -15 to -10
01346,5a,-20 to -15,5a: -20 to -15
01347,5b,-15 to -10,5b: -15 to -10
01349,5b,-15 to -10,5b: -15 to -10
01350,5b,-15 to -10,5b: -15 to -10
01351,5b,-15 to -10,5b: -15 to -10
01354,5b,-15 to -10,5b: -15 to -10
01355,5b,-15 to -10,5b: -15 to -10
01360,5b,-15 to -10,5b: -15 to -10
01364,5b,-15 to -10,5b: -15 to -10
01366,5b,-15 to -10,5b: -15 to -10
01367,5b,-15 to -10,5b: -15 to -10
01368,5b,-15 to -10,5b: -15 to -10
01370,5b,-15 to -10,5b: -15 to -10
01373,6a,-10 to -5,6a: -10 to -5
01375,5b,-15 to -10,5b: -15 to -10
01376,5b,-15 to -10,5b: -15 to -10
01378,5b,-15 to -10,5b: -15 to -10
01379,5b,-15 to -10,5b: -15 to -10
01380,5b,-15 to -10,5b: -15 to -10
01420,5b,-15 to -10,5b: -15 to -10
01430,5b,-15 to -10,5b: -15 to -10
01431,5b,-15 to -10,5b: -15 to -10
01432,6a,-10 to -5,6a: -10 to -5
01434,5b,-15 to -10,5b: -15 to -10
01436,5a,-20 to -15,5a: -20 to -15
01438,5b,-15 to -10,5b: -15 to -10
01440,5b,-15 to -10,5b: -15 to -10
01441,5b,-15 to -10,5b: -15 to -10
01450,5b,-15 to -10,5b: -15 to -10
01451,6a,-10 to -5,6a: -10 to -5
01452,5b,-15 to -10,5b: -15 to -10
01453,5b,-15 to -10,5b: -15 to -10
01460,6a,-10 to -5,6a: -10 to -5
01462,5b,-15 to -10,5b: -15 to -10
01463,5b,-15 to -10,5b: -15 to -10
01464,6a,-10 to -5,6a: -10 to -5
01467,6a,-10 to -5,6a: -10 to -5
01468,5b,-15 to -10,5b: -15 to -10
01469,5b,-15 to -10,5b: -15 to -10
01470,5b,-15 to -10,5b: -15 to -10
01471,5b,-15 to -10,5b: -15 to -10
01472,5b,-15 to -10,5b: -15 to -10
